series,date,rel_day,price,log_norm,rel_plot,log_plot
left,2021-10-06,-33.0,55278.64,-0.1998900466798749,132.0,-0.0549697628369656
left,2021-10-07,-32.0,53844.74,-0.22617190371631937,133.0,-0.06219727352198783
left,2021-10-08,-31.0,53983.21,-0.22360355151974448,134.0,-0.061490976667929735
left,2021-10-09,-30.0,54951.3,-0.20582928537002618,135.0,-0.056603053476757204
left,2021-10-10,-29.0,54655.3,-0.21123043310356496,136.0,-0.05808836910348037
left,2021-10-11,-28.0,57440.05,-0.16153482859747775,137.0,-0.04442207786430639
left,2021-10-12,-27.0,56019.29,-0.18658052810394316,138.0,-0.051309645228584375
left,2021-10-13,-26.0,57372.59,-0.16270996066940227,139.0,-0.04474523918408563
left,2021-10-14,-25.0,57327.09,-0.16350333694362815,140.0,-0.04496341765949775
left,2021-10-15,-24.0,61682.48,-0.09027668784113412,141.0,-0.024826089156311883
left,2021-10-16,-23.0,60880.85,-0.10335794846239414,142.0,-0.02842343582715839
left,2021-10-17,-22.0,61541.01,-0.09257284196168855,143.0,-0.025457531539464354
left,2021-10-18,-21.0,62036.95,-0.08454644854182641,144.0,-0.023250273349002266
left,2021-10-19,-20.0,64353.53,-0.04788483501816271,145.0,-0.013168329629994745
left,2021-10-20,-19.0,66005.17,-0.02254355151874175,146.0,-0.006199476667653981
left,2021-10-21,-18.0,62152.09,-0.08269217810072044,147.0,-0.02274034897769812
left,2021-10-22,-17.0,60671.75,-0.10679843770341563,148.0,-0.0293695703684393
left,2021-10-23,-16.0,61308.09,-0.09636481567737036,149.0,-0.02650032431127685
left,2021-10-24,-15.0,60889.41,-0.1032173558412714,150.0,-0.028384772856349636
left,2021-10-25,-14.0,63102.83,-0.0675110058238192,151.0,-0.018565526601550284
left,2021-10-26,-13.0,60341.21,-0.11226133724793555,152.0,-0.03087186774318228
left,2021-10-27,-12.0,58517.61,-0.14294888923089652,153.0,-0.039310944538496546
left,2021-10-28,-11.0,60577.62,-0.10835110587662841,154.0,-0.029796554116072814
left,2021-10-29,-10.0,62316.4,-0.08005199028379067,155.0,-0.02201429732804244
left,2021-10-30,-9.0,62062.88,-0.08412855916393842,156.0,-0.023135353770083068
left,2021-10-31,-8.0,61333.45,-0.09595125269762546,157.0,-0.026386594491847003
left,2021-11-01,-7.0,60950.0,-0.10222276788332474,158.0,-0.028111261167914306
left,2021-11-02,-6.0,63357.2,-0.0634880692001185,159.0,-0.01745921903003259
left,2021-11-03,-5.0,62944.4,-0.07002482676903934,160.0,-0.01925682736148582
left,2021-11-04,-4.0,61499.24,-0.09325180679806763,161.0,-0.0256442468694686
left,2021-11-05,-3.0,61000.01,-0.10140259570288127,162.0,-0.02788571381829235
left,2021-11-06,-2.0,61539.3,-0.09260062869703414,163.0,-0.02546517289168439
left,2021-11-07,-1.0,63433.66,-0.06228198842633989,164.0,-0.01712754681724347
left,2021-11-08,0.0,67510.06,0.0,165.0,0.0
right,2024-10-05,-365.0,62810.86,-0.6859439579058807,-365.0,-0.6859439579058807
right,2024-10-06,-364.0,62200.28,-0.6957124450229629,-364.0,-0.6957124450229629
right,2024-10-07,-363.0,62122.02,-0.6969714309062218,-363.0,-0.6969714309062218
right,2024-10-08,-362.0,60578.28,-0.7221355333783064,-362.0,-0.7221355333783064
right,2024-10-09,-361.0,60279.53,-0.727079369585361,-361.0,-0.727079369585361
right,2024-10-10,-360.0,62518.75,-0.6906054346143278,-360.0,-0.6906054346143278
right,2024-10-11,-359.0,63187.47,-0.6799659243625521,-359.0,-0.6799659243625521
right,2024-10-12,-358.0,62845.3,-0.6853957953508195,-358.0,-0.6853957953508195
right,2024-10-13,-357.0,66065.65,-0.6354230017527759,-357.0,-0.6354230017527759
