rel_day,dd_pct_2017,dd_pct_2021,dd_pct_2017_scaled,dd_pct_2021_scaled
-179,-85.91555709081774,-26.449772634176327,-49.60337001396028,-26.449772634176327
-178,-85.83019302432693,-26.194375610383634,-49.55408504719269,-26.194375610383634
-177,-85.66700163296068,-30.84111513103013,-49.459866453457956,-30.84111513103013
-176,-86.35404890507893,-31.286327865411145,-49.85653338096142,-31.286327865411145
-175,-86.44134949545702,-35.62067531580067,-49.90693640031663,-35.62067531580067
-174,-87.02816857178746,-36.424645960835065,-50.24573655200162,-36.424645960835065
-173,-86.63782816229117,-45.59020443160912,-50.02037341150334,-45.59020443160912
-172,-86.5617803458527,-39.90064801147244,-49.97646718421131,-39.90064801147244
-171,-86.71000293095507,-44.67627035666908,-50.06204353362015,-44.67627035666908
-170,-86.95410961771972,-44.43878606176517,-50.202978594934706,-44.43878606176517
-169,-87.24825189465311,-48.62990570058533,-50.372801717702245,-48.62990570058533
-168,-86.92291588158942,-42.56708353978617,-50.184968882982844,-42.56708353978617
-167,-86.59611439098941,-43.1639030977622,-49.99628995441336,-43.1639030977622
-166,-86.37697316082568,-41.79563708100683,-49.869768706187784,-41.79563708100683
-165,-86.34960013398651,-42.99447236872744,-49.853964881773656,-42.99447236872744
-164,-86.34703554829795,-47.173497214570645,-49.852484217536,-47.173497214570645
-163,-86.80928903404094,-48.767508027049104,-50.11936639196357,-48.767508027049104
-162,-86.53534941171544,-47.21135080776785,-49.96120727727223,-47.21135080776785
-161,-86.78322446928777,-44.79061574339379,-50.10431800848701,-44.79061574339379
-160,-87.51261357450907,-45.66977543803654,-50.52543100473051,-45.66977543803654
-159,-87.7906355985429,-44.33817870182456,-50.685947095147085,-44.33817870182456
-158,-87.42463258384625,-41.90579296171871,-50.47463515608776,-41.90579296171871
-157,-87.64502993761253,-45.40294979713464,-50.6018816276134,-45.40294979713464
-156,-88.32789013105557,-47.388968098022,-50.99613114411662,-47.388968098022
-155,-89.57427877569819,-46.949795358175386,-51.71573396361593,-46.949795358175386
-154,-89.88496001339865,-50.274383036023984,-51.89510585983446,-50.274383036023984
-153,-88.31009504668593,-50.52980966763301,-50.98585714736556,-50.52980966763301
-152,-87.84135158899635,-44.648897930458055,-50.7152279858876,-44.648897930458055
-151,-88.11973998241427,-45.6740537674984,-50.875955599766705,-45.6740537674984
-150,-85.14419252187749,-44.721999629014064,-49.158022472439285,-44.721999629014064
-149,-86.03279529372357,-47.36353498378158,-49.67105752196726,-47.36353498378158
-148,-85.30283046518444,-42.239635894917704,-49.249612131711245,-42.239635894917704
-147,-85.69746263032283,-40.15198876442585,-49.47745311848478,-40.15198876442585
-146,-85.56766319139136,-40.53464018286971,-49.40251337747703,-40.53464018286971
-145,-86.50834275426035,-43.23971391151379,-49.94561497632063,-43.23971391151379
-144,-86.7127768705774,-43.59787966584025,-50.063645068407816,-43.59787966584025
-143,-85.97469957710506,-46.92128303103505,-49.63751594433881,-46.92128303103505
-142,-85.30848302139597,-47.35265411127476,-49.25287563656158,-47.35265411127476
-141,-85.74095591006156,-47.237183627528935,-49.50256397524987,-47.237183627528935
-140,-85.53762090189674,-53.18651902827738,-49.38516845355024,-53.18651902827738
-139,-84.97205124984298,-51.864041499499706,-49.05863666269152,-51.864041499499706
-138,-85.72661516559896,-50.1362921805905,-49.49428434257401,-50.1362921805905
-137,-85.81857388100322,-48.690971821797056,-49.54737673166699,-48.690971821797056
-136,-85.30895406774694,-53.22755546173168,-49.25314759529911,-53.22755546173168
-135,-84.8342440229452,-52.20185188008893,-48.97907362314581,-52.20185188008893
-134,-82.95016329606834,-48.6613492015438,-47.891299108308466,-48.6613492015438
-133,-83.18479671733033,-48.96269755630407,-48.02676477723496,-48.96269755630407
-132,-82.36077963404934,-46.84154918161775,-47.55101829238583,-46.84154918161775
-131,-82.09814512414688,-48.13305693449848,-47.39938618739516,-48.13305693449848
-130,-82.50931625005234,-50.33348023744877,-47.636775947619675,-50.33348023744877
-129,-82.34193778001088,-49.88222750853334,-47.54013994288469,-49.88222750853334
-128,-80.89315621990536,-48.68140849711761,-46.70368551916081,-48.68140849711761
-127,-79.69245907130596,-47.76538707112523,-46.010462697201724,-47.76538707112523
-126,-78.71864924841938,-50.076025470420085,-45.448233333818656,-50.076025470420085
-125,-77.35319055395051,-49.33261761371954,-44.65988538899974,-49.33261761371954
-124,-78.01605744671943,-49.83013255567417,-45.04259176797677,-49.83013255567417
-123,-77.05250596658712,-51.35188549236245,-44.486285061544315,-51.35188549236245
-122,-77.36706025206213,-49.94615078402238,-44.66789306293806,-49.94615078402238
-121,-78.34364401457104,-50.3934656733639,-45.2317239611088,-50.3934656733639
-120,-78.07378679395386,-49.29066333795858,-45.0759218221427,-49.29066333795858
-119,-78.5910480257924,-50.961358394770784,-45.374562733586046,-50.961358394770784
-118,-79.07324247372608,-51.55591295479641,-45.6529578279023,-51.55591295479641
-117,-78.5987417828581,-51.40190789807746,-45.37900472629901,-51.40190789807746
-116,-78.34442909182263,-52.86206177285979,-45.23217722567134,-52.86206177285979
-115,-77.32267721810493,-53.51971058951679,-44.64226850633542,-53.51971058951679
-114,-77.11730100908596,-53.31753361560438,-44.523694496773174,-53.31753361560438
-113,-77.25840556044048,-52.923557207408535,-44.60516124748159,-52.923557207408535
-112,-77.05245362810368,-54.34727866417822,-44.48625484390681,-54.34727866417822
-111,-77.02754050998618,-55.8898458957571,-44.47187124845532,-55.8898458957571
-110,-76.0794288824687,-52.421911975073776,-43.92447874508629,-52.421911975073776
-109,-76.15673282250974,-52.17455347341877,-43.969110195678404,-52.17455347341877
-108,-75.39170121006573,-50.26815059068333,-43.52741898829528,-50.26815059068333
-107,-74.34671104970063,-49.23696956301675,-42.92409363790798,-49.23696956301675
-106,-76.0013922036595,-47.61780691055316,-43.87942424756914,-47.61780691055316
-105,-75.96810492819161,-44.81689268040006,-43.86020583011716,-44.81689268040006
-104,-77.86977138550434,-41.51984027175237,-44.95813347115554,-41.51984027175237
-103,-77.0935916760876,-40.79110308805083,-44.51000590698426,-40.79110308805083
-102,-75.98113721056818,-40.74368617017418,-43.86773002185543,-40.74368617017418
-101,-75.89729096009714,-37.53298495789694,-43.81932136657543,-37.53298495789694
-100,-77.86181593602144,-38.62175318835471,-44.95354039025507,-38.62175318835471
-99,-77.86427584474312,-40.921658754224474,-44.954960619217715,-40.921658754224474
-98,-78.42361721726752,-42.00065640528836,-45.27789651121357,-42.00065640528836
-97,-78.180714315622,-43.42933717129587,-45.13765645556159,-43.42933717129587
-96,-78.37384331951598,-41.162577555824434,-45.2491595379481,-41.162577555824434
-95,-79.71690114307248,-39.50254131289643,-46.02457433391568,-39.50254131289643
