date,value,ma30
2010-06-29,244.0,217.23333333333332
2010-06-30,261.0,219.6
2010-07-01,268.0,222.6
2010-07-02,223.0,223.73333333333332
2010-07-03,261.0,225.13333333333333
2010-07-04,205.0,226.23333333333332
2010-07-05,226.0,227.73333333333332
2010-07-06,199.0,228.0
2010-07-07,222.0,228.73333333333332
2010-07-08,223.0,228.83333333333334
2010-07-09,267.0,230.3
2010-07-10,239.0,231.0
2010-07-11,452.0,237.7
2010-07-12,3368.0,343.2
2010-07-13,1796.0,395.3
2010-07-14,6548.0,605.0666666666667
2010-07-15,1568.0,648.0333333333333
2010-07-16,1436.0,689.4
2010-07-18,519.0,699.9
2010-07-19,667.0,715.8
2010-07-20,714.0,732.4
2010-07-21,524.0,742.1333333333333
2010-07-22,477.0,749.2333333333333
2010-07-23,481.0,757.4
2010-07-24,743.0,773.3666666666667
2010-07-25,1881.0,828.1
2010-07-26,524.0,838.7
2010-07-27,511.0,849.1
2010-07-28,429.0,856.0666666666667
2010-07-29,431.0,863.5666666666667
2010-07-30,374.0,867.9
2010-07-31,339.0,870.5
2010-08-01,429.0,875.8666666666667
2010-08-02,431.0,882.8
2010-08-03,701.0,897.4666666666667
2010-08-04,539.0,908.6
2010-08-05,634.0,922.2
2010-08-06,422.0,929.6333333333333
2010-08-07,303.0,932.3333333333334
2010-08-08,437.0,939.4666666666667
2010-08-09,511.0,947.6
2010-08-10,370.0,951.9666666666667
2010-08-11,451.0,951.9333333333333
2010-08-12,450.0,854.6666666666666
2010-08-13,609.0,815.1
2010-08-14,440.0,611.5
2010-08-15,297.0,569.1333333333333
2010-08-16,521.0,538.6333333333333
2010-08-17,365.0,533.5
2010-08-18,450.0,526.2666666666667
2010-08-19,355.0,514.3
2010-08-20,458.0,512.1
2010-08-21,389.0,509.1666666666667
2010-08-22,373.0,505.56666666666666
2010-08-23,415.0,494.6333333333333
2010-08-24,431.0,446.3
2010-08-25,379.0,441.46666666666664
2010-08-26,388.0,437.3666666666667
2010-08-27,323.0,433.8333333333333
2010-08-28,382.0,432.2
2010-08-29,291.0,429.43333333333334
2010-08-30,359.0,430.1
2010-08-31,456.0,431.0
2010-09-01,431.0,431.0
2010-09-02,343.0,419.06666666666666
2010-09-03,373.0,413.53333333333336
2010-09-04,307.0,402.6333333333333
2010-09-05,354.0,400.3666666666667
2010-09-06,309.0,400.56666666666666
2010-09-07,290.0,395.6666666666667
2010-09-08,387.0,391.53333333333336
2010-09-09,362.0,391.26666666666665
2010-09-10,394.0,389.3666666666667
2010-09-11,330.0,385.3666666666667
2010-09-12,425.0,379.23333333333335
2010-09-13,512.0,381.6333333333333
2010-09-14,459.0,387.03333333333336
2010-09-15,484.0,385.8
2010-09-16,425.0,387.8
2010-09-17,375.0,385.3
2010-09-18,410.0,387.1333333333333
2010-09-19,389.0,384.8333333333333
2010-09-20,525.0,389.3666666666667
2010-09-21,968.0,409.2
