post_day,dd_2025,dd_2017_scaled,dd_2021_scaled
435,,-26.99878184964452,-39.64453216341391
436,,-26.85532136285596,-40.02294383585358
437,,-26.88807791955322,-39.70031726871413
438,,-26.887348488202637,-38.33309044525086
439,,-26.900529143072532,-38.248647377684655
440,,-26.87672932481968,-38.31610604863485
441,,-26.87074120233696,-38.137701467664776
442,,-26.909367136878473,-38.39681186478051
443,,-27.055609640911122,-38.0033485619057
444,,-26.81155548182079,-38.04103750243277
445,,-26.799172112380603,-38.00317752065076
446,,-26.79041893617357,-38.035598390525536
447,,-26.814049119228606,-37.4354060748618
448,,-26.688722635086023,-38.208683588466826
449,,-26.71598301137421,-37.95005210686494
450,,-26.802921050252223,-37.43241285290027
451,,-26.78541469783815,-37.595791459623456
452,,-26.800647938601557,-37.70062264477907
453,,-26.7956776273057,-37.792514558998114
454,,-26.712810833175148,-38.11827973316581
455,,-26.56488894068417,-38.27755334977031
456,,-26.603888072660858,-37.842569782257684
457,,-26.597967804257266,-38.088048191354325
458,,-26.5464835217217,-39.08797247188659
459,,-26.493896610400363,-39.237274383327815
460,,-26.594134048786742,-39.042347217130086
461,,-26.575440249988,-39.10514501388303
462,,-26.576033973180333,-39.103220799764905
463,,-26.59963022919581,-38.754843971693525
464,,-26.7047870883187,-36.91865623542285
465,,-26.681173868783446,-37.66486647043288
466,,-26.5029212029239,-36.72941619095203
467,,-26.52897716930763,-36.67452050017753
468,,-26.39354042737552,-36.93978838247128
469,,-26.388230845684042,-36.495440306250416
470,,-26.386788946502655,-36.82702088308623
471,,-26.315525199902357,-37.049613972271274
472,,-25.01793468128854,-37.26268861561864
473,,-24.892336780829456,-37.9101054217726
474,,-25.01019931626837,-37.931006663126844
475,,-24.782599771365682,-37.593901453756324
476,,-24.768078998433076,-37.655117118901025
477,,-24.52114104097996,-37.939627142376054
478,,-24.3671970989667,-37.52268842726009
479,,-24.533999388974017,-37.664113888911125
480,,-24.31114962961003,-38.626682759363455
