date,rel_day,price,log_norm,series,rel_plot,log_plot
2018-05-02,136.0,9190.48,-0.7460213238323321,left_projected,143.64,-0.38151530500785463
2018-05-03,137.0,9725.74,-0.6894135103668746,left_projected,144.88,-0.35256606920161965
2018-05-04,138.0,9685.0,-0.6936111926625216,left_projected,146.12,-0.35471276392761353
2018-05-05,139.0,9800.0,-0.6818071038449546,left_projected,147.35999999999999,-0.34867615290630977
2018-05-06,140.0,9600.0,-0.7024263910476901,left_projected,148.6,-0.3592208563817887
2018-05-07,141.0,9356.25,-0.7281449203356793,left_projected,149.84,-0.3723733122596664
2018-05-08,142.0,9177.81,-0.7474008754410472,left_projected,151.08,-0.3822208077005515
2018-05-09,143.0,9300.08,-0.7341664872487311,left_projected,152.32,-0.37545274157900105
2018-05-10,144.0,9010.51,-0.7657978157295824,left_projected,153.56,-0.3916290029641084
2018-05-11,145.0,8403.33,-0.8355614336578295,left_projected,154.8,-0.427306117172614
2018-05-12,146.0,8475.0,-0.8270688362549667,left_projected,156.04,-0.42296300286078997
2018-05-13,147.0,8686.1,-0.8024654426959371,left_projected,157.28,-0.4103808273947022
2018-05-14,148.0,8670.0,-0.8043206987290302,left_projected,158.52,-0.41132960533002605
2018-05-15,149.0,8477.46,-0.8267786128871173,left_projected,159.76,-0.4228145826304718
2018-05-16,150.0,8344.0,-0.8426467718230094,left_projected,161.0,-0.43092955911028696
2018-05-17,151.0,8059.0,-0.8774000101791065,left_projected,162.24,-0.44870236520559503
2018-05-18,152.0,8238.51,-0.8553699871936742,left_projected,163.48,-0.43743621145084494
2018-05-19,153.0,8235.6,-0.8557232688010284,left_projected,164.72,-0.4376168796648459
2018-05-20,154.0,8516.86,-0.8221417612104471,left_projected,165.96,-0.42044329668302266
2018-05-21,155.0,8393.44,-0.8367390411553329,left_projected,167.2,-0.4279083456468372
2018-05-22,156.0,7987.7,-0.8862866310076706,left_projected,168.44,-0.4532469830973227
2018-05-23,157.0,7505.0,-0.9486200244360554,left_projected,169.68,-0.4851242804965987
2018-05-24,158.0,7584.15,-0.9381289462833391,left_projected,170.92,-0.47975914312929957
2018-05-25,159.0,7459.11,-0.9547533853720359,left_projected,172.16,-0.48826088127925915
2018-05-26,160.0,7337.95,-0.9711299774573393,left_projected,173.4,-0.4966358704716833
2018-05-27,161.0,7346.64,-0.9699464236755295,left_projected,174.64,-0.4960306010676658
2018-05-28,162.0,7107.94,-1.0029770204577249,left_projected,175.88,-0.5129224482620804
2018-05-29,163.0,7460.0,-0.9546340753058113,left_projected,177.12,-0.4881998661113919
2018-05-30,164.0,7380.01,-0.9654144958964676,left_projected,178.35999999999999,-0.49371297320145346
2018-05-31,165.0,7485.0,-0.951288471649889,left_projected,179.6,-0.4864889244017532
2018-06-01,166.0,7514.32,-0.9473789561058965,left_projected,180.84,-0.48448959815255543
2018-06-02,167.0,7636.42,-0.9312605825513958,left_projected,182.08,-0.4762466619167838
2018-06-03,168.0,7706.37,-0.9221422299360466,left_projected,183.32,-0.4715835363892942
2018-06-04,169.0,7487.37,-0.9509718885010897,left_projected,184.56,-0.48632702377945725
2018-06-05,170.0,7612.51,-0.9343965428574283,left_projected,185.8,-0.47785039201728885
2018-06-06,171.0,7655.0,-0.9288304604118336,left_projected,187.04,-0.4750038974546117
2018-06-07,172.0,7684.93,-0.9249282212256261,left_projected,188.28,-0.47300829233478514
2018-06-08,173.0,7618.83,-0.9335666749189928,left_projected,189.52,-0.4774259975535729
2018-06-09,174.0,7496.4,-0.9497665842160934,left_projected,190.76,-0.48571063116811014
2018-06-10,175.0,6770.31,-1.051642613394531,left_projected,192.0,-0.5378100324899631
2018-06-11,176.0,6881.0,-1.0354254993011378,left_projected,193.24,-0.5295166003426018
2018-06-12,177.0,6544.99,-1.0854896180446656,left_projected,194.48,-0.555119390668042
2018-06-13,178.0,6302.32,-1.1232716699445904,left_projected,195.72,-0.5744411320096635
2018-06-14,179.0,6638.49,-1.0713049615331853,left_projected,196.96,-0.547865357328071
2018-06-15,180.0,6391.22,-1.1092643160378906,left_projected,198.2,-0.5672777712217771
2018-06-16,181.0,6484.29,-1.0948071611701056,left_projected,199.44,-0.5598843822223919
2018-06-17,182.0,6447.16,-1.1005497657562653,left_projected,200.68,-0.562821150207754
2018-06-18,183.0,6709.02,-1.0607365998749687,left_projected,201.92,-0.5424606971760589
2021-05-09,-183.0,58410.34,-0.14478369485425363,right_actual,-183.0,-0.14478369485425363
2021-05-10,-182.0,55936.77,-0.1880546781400165,right_actual,-182.0,-0.1880546781400165
2021-05-11,-181.0,56719.0,-0.17416737220759596,right_actual,-181.0,-0.17416737220759596
2021-05-12,-180.0,49095.57,-0.31850781711314985,right_actual,-180.0,-0.31850781711314985
2021-05-13,-179.0,49635.45,-0.30757132762688094,right_actual,-179.0,-0.30757132762688094
2021-05-14,-178.0,49923.92,-0.3017763771913843,right_actual,-178.0,-0.3017763771913843
2021-05-15,-177.0,46984.74,-0.36245375567184984,right_actual,-177.0,-0.36245375567184984
2021-05-16,-176.0,46523.31,-0.37232314649873344,right_actual,-176.0,-0.37232314649873344
2021-05-17,-175.0,43768.74,-0.43335675986245203,right_actual,-175.0,-0.43335675986245203
2021-05-18,-174.0,42989.8,-0.4513137455579448,right_actual,-174.0,-0.4513137455579448
2021-05-19,-173.0,37236.61,-0.5949842066946273,right_actual,-173.0,-0.5949842066946273
2021-05-20,-172.0,40749.78,-0.5048261829113132,right_actual,-172.0,-0.5048261829113132
2021-05-21,-171.0,37425.0,-0.5899376935049132,right_actual,-171.0,-0.5899376935049132
2021-05-22,-170.0,37383.34,-0.5910514731799235,right_actual,-170.0,-0.5910514731799235
2021-05-23,-169.0,34927.4,-0.6590050023457084,right_actual,-169.0,-0.6590050023457084
2021-05-24,-168.0,38725.06,-0.5557896881221722,right_actual,-168.0,-0.5557896881221722
2021-05-25,-167.0,38370.0,-0.5650007195517442,right_actual,-167.0,-0.5650007195517442
2021-05-26,-166.0,39213.41,-0.5432578436775248,right_actual,-166.0,-0.5432578436775248
