rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_timewarp_scaled,dd_pct_ahr_2017_timewarp_scaled
-153,-30.500853912456527,-61.585013576526016,-93.74128712422309,-15.370636948402579,-9.301984884255493
-152,-30.70707576387815,-61.75438673183229,-93.14647495694099,-15.412909786026997,-9.272699526924033
-151,-30.130605448035006,-60.93081954253529,-92.58342080634284,-15.207360553605856,-9.249095988594975
-150,-29.58719772263131,-58.975782325551435,-92.20955327539797,-14.719414452148337,-9.228265492537867
-149,-29.762648541274928,-57.074910117659066,-92.05527479830018,-14.244987072888025,-9.204143993378858
-148,-30.07733054187602,-56.9838562611543,-91.89408554887844,-14.222261482849019,-9.17066744574411
-147,-29.44416353756716,-56.752041894878055,-92.08949995811871,-14.164404315065356,-9.162804756887043
-146,-28.824220082544276,-57.400443503391564,-92.02816571608663,-14.326235012867139,-9.15692225839618
-145,-27.905551472447435,-57.58183459453061,-92.15870041543836,-14.371507335558249,-9.161773972740825
-144,-28.126387722292584,-58.821759896713544,-92.19261234619766,-14.680972910966624,-9.186113922390279
-143,-27.628171869590478,-61.60736336222583,-92.1584974589962,-15.376215098376347,-9.214218481454926
-142,-27.773849704153985,-64.05399411227476,-92.0952895501504,-15.986855103498213,-9.230043612848604
-141,-28.269626928271286,-65.58028328257409,-92.01650328572218,-16.367792532143866,-9.243462892289596
-140,-29.35300870995233,-66.75264752052135,-91.97408014868817,-16.660395943692787,-9.264349895496183
-139,-30.728830099659938,-68.04561602170497,-91.96451588011118,-16.983100255395478,-9.33136265784417
-138,-31.480792425274647,-69.0710115767915,-91.56961500874884,-17.239022628233084,-9.379550349553172
-137,-32.6992190980658,-69.48235331771762,-91.251268317572,-17.34168696480326,-9.420867339136649
-136,-33.83999438610886,-68.8572200342431,-90.88069741047819,-17.185663669741224,-9.467267995108054
-135,-34.14001907065808,-68.0741403141678,-90.34725869277017,-16.99021946375794,-9.481040419153743
-134,-34.11231325509369,-67.8468372425212,-89.87824360983647,-16.933488243147014,-9.503954888958903
-133,-35.16751667161143,-68.28203528537689,-89.46214529212502,-17.042106732109072,-9.54262050641804
-132,-36.053038416944425,-67.82926263479908,-88.86056138830156,-16.929101901420033,-9.603646373425644
-131,-38.142061885196135,-67.3403293457868,-88.34993547407224,-16.80707195223349,-9.706429410477242
-130,-38.277106082633395,-67.31715630971307,-87.60705299166077,-16.801288332099364,-9.771788609819168
-129,-39.17905581131227,-67.64437640207223,-86.72914258463895,-16.882957247145157,-9.818873383530475
-128,-39.42379285956765,-68.22821999683437,-86.05000291063354,-17.02867529458194,-9.866833143690206
-127,-39.17009222545488,-68.6493141809897,-85.10089605142902,-17.133773685405426,-9.907536093936981
-126,-38.12564764641844,-68.9280801416465,-84.25956145073435,-17.20334922214707,-9.930345173783842
-125,-37.107622316354124,-69.04275874847045,-83.89264910966006,-17.231971172989855,-9.946624307277858
-124,-35.6730834668064,-69.44217819470695,-83.70776657688502,-17.33165989499695,-9.967737418466106
-123,-35.49621865285522,-69.81424061168302,-83.823487203894,-17.42452073891603,-9.972429213233879
-122,-34.49356620565902,-70.05664448561753,-84.31836655410936,-17.48502087888115,-9.960355378094434
-121,-34.41192292901398,-70.52452919014056,-84.57553979652565,-17.601797437158556,-9.948684291263735
-120,-34.61613355013242,-70.87605642076751,-84.98482142779571,-17.68953302615425,-9.95458433095775
-119,-34.44512198215849,-71.20066024896661,-85.12211165230335,-17.77054896340188,-9.949028972030337
-118,-33.940698273232684,-71.86245723794254,-85.0153982963914,-17.935722934476104,-9.947331812430619
-117,-31.872660334461706,-72.41033757569019,-84.99109806708493,-18.072465126669062,-9.95269809074586
-116,-29.833207791300588,-73.0781931657521,-84.8242436368733,-18.239151227923987,-9.968333045563323
-115,-27.935905785261415,-73.6766862151813,-84.56278818770924,-18.38852554554897,-9.975995236636901
-114,-25.76741325219032,-74.40271979589873,-84.20818926990842,-18.569731945182042,-9.970747482458217
-113,-23.758545327574048,-74.61580406090533,-83.92238810815302,-18.622914378482374,-9.954247148157345
-112,-22.001135929658236,-74.5482557670558,-83.6869526177561,-18.60605540190758,-9.92815159886435
-111,-20.48619667496552,-74.0639559195397,-83.28160507739209,-18.4851818858031,-9.902795916965013
-110,-20.523978222510948,-73.43657822109536,-83.18640046956833,-18.328598420568824,-9.876723080612054
-109,-20.642315299620766,-72.59096172567051,-83.12716127713705,-18.117546033081652,-9.84702634479392
-108,-20.27766145260819,-71.02007345536738,-83.42187920416573,-17.725477380546078,-9.810798964499059
-107,-19.996415162451246,-68.59392879871544,-83.76218054031801,-17.11995037752991,-9.788460151389947
-106,-19.946951201174027,-66.56117439740937,-83.87945548238932,-16.612607306655725,-9.768599395480656
-105,-20.043877870789533,-64.56273129763534,-84.1323637412618,-16.11382778928991,-9.758030381833695
-104,-20.327067705537935,-62.23450738189683,-84.94378129504086,-15.532740241116578,-9.763566795511565
-103,-19.951814229466486,-60.31141612245271,-85.4132865272173,-15.052767341040305,-9.761919931474514
-102,-19.501200662672783,-59.129367066633755,-85.97512438381169,-14.757746753448512,-9.758334249380905
-101,-18.065267735499493,-58.66027329165127,-86.14188644878566,-14.640668430472228,-9.756232358369665
-100,-16.802782104904786,-59.08669386460689,-86.47469187953303,-14.747096202970583,-9.759036867579725
-99,-14.861935511533687,-59.22809491246728,-87.21361768992449,-14.782387648803992,-9.754028288410828
-98,-12.715886373742332,-59.056374910049804,-88.45815615651247,-14.7395290755789,-9.742834943324896
-97,-11.007256892261422,-58.94157972667075,-89.02298024221024,-14.71087802908766,-9.726527580818319
-96,-9.456686039019894,-58.06001091613403,-89.60369636112736,-14.490852517281004,-9.70617694938748
-95,-8.129972341752993,-56.97454661637205,-90.09654409883628,-14.21993794402429,-9.678126670262056
-94,-8.291756759045489,-54.898694189658656,-90.2643925370354,-13.701838293533445,-9.625599755109853
-93,-8.445067362756546,-52.78939241488835,-90.52003860254263,-13.175390219371236,-9.557702665756151
-92,-9.106591335054178,-51.13027512578206,-90.57684874586324,-12.76130101122351,-9.483541864026233
-91,-8.797422768402413,-50.16691315278125,-90.32915137605741,-12.52086123087837,-9.399833078792978
-90,-8.371413129208232,-48.71093756411937,-90.40059143624858,-12.157472950525882,-9.331656704380592
-89,-7.986612059713923,-48.046611979983155,-90.33332490979444,-11.991667882437282,-9.27363019145763
-88,-6.707447069948331,-47.17100029430209,-90.33613333363589,-11.773129173963044,-9.220370990692636
-87,-4.961526601570883,-47.44201237761534,-90.52544767238159,-11.840769466614145,-9.178240520615308
-86,-4.2983221312795905,-47.88143463633429,-90.61822457217905,-11.950442252468502,-9.139050157352077
-85,-3.435931894042239,-48.292137870655594,-90.47652323613806,-12.052947227975947,-9.112863755413091
-84,-3.0779822896436357,-47.715668664246046,-90.16054780056525,-11.909069710231398,-9.109745169308507
-83,-2.403351877348866,-47.37276726648535,-89.85353097779466,-11.82348699151477,-9.099132269893417
-82,-2.1388213904208264,-46.94578677071859,-89.53348876197838,-11.716919471214974,-9.096110391819764
-81,-2.907124730155654,-46.34645400391277,-89.09483303031293,-11.567335573528455,-9.09397572251053
-80,-4.71387695100924,-45.30675337878774,-88.8243456716036,-11.307842883412114,-9.086024449388702
-79,-5.761365375179379,-44.48286249135996,-88.59886628691486,-11.102212861101354,-9.086868922135507
-78,-6.766392292765484,-43.25719188862594,-88.66590341664663,-10.796305031276091,-9.099387536671719
-77,-7.8199522887041955,-43.34017774772209,-88.64596252268062,-10.817016977867336,-9.11237310172908
-76,-8.907640371726187,-43.56421381807734,-88.59080764223903,-10.872932807073063,-9.114618426039335
-75,-9.975227883550616,-43.67574697712404,-88.6247657708558,-10.900769704328676,-9.115305895538574
-74,-10.891174077345807,-43.94653176556921,-88.56411987424237,-10.968353267806645,-9.134487535370976
-73,-12.013934954909493,-44.88041326799902,-88.3911425174281,-11.201435192987038,-9.164461603368833
-72,-12.07142073716662,-45.17132094083581,-88.1447288643433,-11.274041107397087,-9.197526357364431
-71,-11.987315023210305,-45.32308540832275,-87.80508477158708,-11.311919097445928,-9.204348377467914
-70,-12.103795254196243,-44.62376543076403,-87.02088120761127,-11.137379987010183,-9.207091866945785
-69,-11.167454891459299,-44.39239786308682,-86.12291231008241,-11.079634333029247,-9.19170294509492
-68,-10.128395528151755,-44.13031021737028,-85.10933257744773,-11.014221437634417,-9.144127731212196
-67,-9.31463958521982,-43.216873207829806,-84.37786188682914,-10.786242131736646,-9.087803605536754
-66,-8.420087307772507,-41.41022883316167,-83.73297800371824,-10.335332516471377,-9.023517140336164
-65,-8.144551800744782,-41.55895170742628,-83.2228452801605,-10.372451373373206,-8.951180516229067
-64,-8.316719050455395,-42.57490357720642,-82.76611255524524,-10.626016753009552,-8.870705913834115
-63,-8.508061479035714,-43.54851166302256,-82.72835145691758,-10.869013799661387,-8.771010259595297
-62,-9.508754445609478,-45.21723195860542,-82.5998461904554,-11.285499765032867,-8.68799364674518
-61,-11.017328309307358,-46.755611364089724,-82.60921364595846,-11.669454723510162,-8.623284584438622
-60,-12.064547786279956,-48.65402823833519,-82.5129364241296,-12.14326929066113,-8.578511581830464
-59,-12.487961699557525,-51.190557005695965,-82.52316164073666,-12.776346406798075,-8.546904339246199
-58,-13.26886955993197,-51.14171146235877,-82.7454196830622,-12.7641553383939,-8.51669698219909
-57,-14.143775312779713,-50.4412144673319,-82.77260697538433,-12.589322463174579,-8.501442545534115
-56,-15.312286905688884,-50.06577713805917,-82.78093113334806,-12.495619294984833,-8.51469406409625
-55,-15.718406018314841,-49.387382306184385,-83.12515760137435,-12.326302767101588,-8.570722281373216
-54,-15.490987077187327,-48.499163711889764,-83.5255189782729,-12.104617575350213,-8.651740466943473
-53,-15.015176769401716,-48.18830016643526,-83.60812274911068,-12.027030993482581,-8.751760266725633
-52,-14.59046203634865,-48.80846556357871,-83.61664977932564,-12.18181438336702,-8.864793326638294
-51,-13.817688730586253,-50.7198170506336,-83.04058990182388,-12.658857223534683,-8.911765037576657
-50,-12.739095851732156,-52.159009646660365,-82.35859467176628,-13.0180567366576,-8.960902193185643
-49,-11.135427073994665,-53.07820170592538,-81.53198261425335,-13.247472411158684,-9.003443472460996
-48,-10.88245357917764,-54.428283220505556,-80.55756367182012,-13.584431219904829,-9.030627554398466
-47,-11.078793049875518,-56.117084170769445,-79.35040848151786,-14.0059289963463,-9.000892802937694
-46,-10.847606593440622,-57.335740984475706,-78.4461881312851,-14.310086296318314,-8.953865146576147
-45,-10.326524730474976,-57.57284804553227,-77.90405855807036,-14.369264436286969,-8.890094469945494
-44,-10.22054103190939,-57.472857490119615,-77.52134531717684,-14.344308388764023,-8.810130657677414
-43,-10.114443088124872,-58.03315550620478,-77.16405764430195,-14.484149835375929,-8.691020233343238
-42,-10.022053195869178,-58.33895487039225,-77.32451237559194,-14.560472478386105,-8.589382387984303
-41,-9.860458461527516,-56.74306014766889,-78.0029246274164,-14.162162614244055,-8.501336978173564
-40,-9.210494672242536,-55.26084220342909,-79.135219801637,-13.792224660572783,-8.42300386048397
-39,-8.736132413438318,-53.75871632431633,-80.5038696790174,-13.417318003940286,-8.379095073299826
-38,-7.310148120814438,-51.66128184849506,-81.07262209946687,-12.893831818281635,-8.367350800331032
-37,-5.121185769221621,-48.493673359815325,-81.68070463605952,-12.103247271057754,-8.364070867622605
-36,-3.022301284653371,-44.11797517701048,-82.00986046391345,-11.011142808336416,-8.345555101219567
