rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_scaled,dd_pct_ahr_2017_scaled
-115,-30.47189019779638,-74.44407291154766,-83.98932454151557,-34.46090950522208,-26.559756469026652
-114,-21.011589615715952,-74.27239698068658,-84.3261747040407,-34.3814389915029,-26.66627784340438
-113,-20.80417686110687,-73.88240743186076,-84.18281287083227,-34.20090891000081,-26.620942851156798
-112,-20.598919123548896,-75.47711376186285,-84.29465286740296,-34.93911449677604,-26.656309763423682
-111,-19.55673432651205,-77.13711736878082,-83.13256066603954,-35.70754684926583,-26.288823942680935
-110,-19.895537501237925,-73.43476282222811,-83.39838775084107,-33.99368972142444,-26.37288584785449
-109,-21.6691038816896,-73.1899190924238,-82.4847549236206,-33.880349098246384,-26.083969779942915
-108,-19.86731541494734,-71.05397397893498,-81.15189175896748,-32.891598639206926,-25.662481438978528
-107,-21.27606044853395,-69.88075309157627,-83.65974244927435,-32.34850289971209,-26.45553346027805
-106,-21.6325364008756,-67.96309196388674,-83.76813852381339,-31.460798291428354,-26.48981130877453
-105,-18.046342194460873,-64.48089586974098,-86.35767835660366,-29.848854723773545,-27.30869570510941
-104,-17.588010295413405,-60.154104772217266,-85.51467001910557,-27.845939640971352,-27.04211306180882
-103,-19.549289772297417,-59.2054820130856,-84.21931234534021,-27.406812632218454,-26.632484998441235
-102,-22.347590568998154,-59.20081739400549,-84.25511273572802,-27.40465333316738,-26.643806075916103
-101,-21.849644258186153,-54.75640656876553,-86.83181463542094,-25.347290896340446,-27.458630761347337
-100,-18.64928611603378,-56.41911427546739,-86.9462790745092,-26.1169750037961,-27.49482759520859
-99,-18.47824143331971,-59.68874857315405,-87.70100351997418,-27.63052157964811,-27.733492420556274
-98,-7.994811704247806,-61.19723944486357,-87.5250128114214,-28.328817164324153,-27.677839271950912
-97,-8.750610881250475,-63.139048782906656,-87.84430803433729,-29.227700221867316,-27.77880928699345
-96,-5.963363618699724,-60.19528934810832,-89.39179301808038,-27.86500439505162,-28.26816700634713
-95,-7.3252466044586795,-57.998777377083165,-92.96688200184391,-26.84821692896857,-29.39870940899408
-94,-9.889237887819768,-53.95284028511212,-90.78558323530528,-24.975311987887515,-28.708922173036285
